Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value
sp|P07360|CO8G_HUMAN,wilcoxon_signed_rank,105.0,0.024749115109443665,0.6783384630013616,0.06511568169419965
sp|P07384|CAN1_HUMAN,wilcoxon_signed_rank,135.0,0.12562106549739838,0.8421935146910088,0.2265522334919259
sp|P07437|TBB5_HUMAN,wilcoxon_signed_rank,190.0,0.7792982533574104,0.9958344600783482,0.8552143420677367
sp|P07451|CAH3_HUMAN,wilcoxon_signed_rank,103.0,0.021778732538223267,0.6460337889481852,0.05941792919325381
sp|P07585|PGS2_HUMAN,wilcoxon_signed_rank,101.0,0.019113145768642426,1.4038109706588018,0.053987043286471456
sp|P07602|SAP_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,1.5244676251095484,0.003674118879820731
sp|P07686|HEXB_HUMAN,wilcoxon_signed_rank,67.0,0.0012892335653305054,1.423055939275899,0.006695921948074778
sp|P07711|CATL1_HUMAN,wilcoxon_signed_rank,166.0,0.4117337390780449,0.8103578446702038,0.5497802487021529
sp|P07737|PROF1_HUMAN,wilcoxon_signed_rank,109.0,0.03170907497406006,1.2019272462358739,0.0786011626035714
sp|P07738|PMGE_HUMAN,wilcoxon_signed_rank,138.0,0.14377250522375107,1.237897306075596,0.24962527227524653
sp|P07741|APT_HUMAN,wilcoxon_signed_rank,42.0,8.20159912109375e-05,0.5799641993343382,0.0008707848270382502
sp|P07814|SYEP_HUMAN,wilcoxon_signed_rank,54.0,0.0003418475389480591,0.6576659108720192,0.002437632005069444
sp|P07858|CATB_HUMAN,wilcoxon_signed_rank,128.0,0.09002415090799332,1.1659620087580402,0.17619327088395592
sp|P07900|HS90A_HUMAN,wilcoxon_signed_rank,70.0,0.0017047896981239319,0.5708260126768205,0.008255586035617305
sp|P07902|GALT_HUMAN,wilcoxon_signed_rank,126.0,0.08145394921302795,0.9191458360672266,0.1636924213874879
sp|P07910|HNRPC_HUMAN,wilcoxon_signed_rank,47.0,0.00015273690223693848,0.3809130304318119,0.0013473977827850511
sp|P07919|QCR6_HUMAN,wilcoxon_signed_rank,115.0,0.0451183095574379,1.5532642698436372,0.10320436966927764
